0 2.46866e-14
13.3333 1.1932
26.6667 6.94699
40 34.6973
53.3333 472.53
66.6667 665.791
80 101.65
93.3333 50.4071
106.667 36.3111
120 32.5707
133.333 35.1818
146.667 47.3213
160 92.4671
173.333 587.165
186.667 402.946
200 28.6837
213.333 5.56409
226.667 0.925513
240 2.53863e-07
253.333 0.870992
266.667 4.91175
280 23.7784
293.333 314.645
306.667 425.795
320 63.1689
333.333 30.369
346.667 21.2028
360 18.4322
373.333 19.2973
386.667 25.1631
400 47.7063
413.333 295.658
426.667 192.21
440 13.3484
453.333 2.50975
466.667 0.403257
480 6.93119e-06
493.333 0.362541
506.667 1.97587
520 9.28358
533.333 120.679
546.667 151.603
560 22.0981
573.333 10.3232
586.667 6.99315
600 5.89673
613.333 5.98883
626.667 7.58111
640 13.988
653.333 85.9705
666.667 50.4679
680 3.46915
693.333 0.632923
706.667 0.0977248
720 1.90434e-05
733.333 0.0864735
746.667 0.453379
760 2.07178
773.333 27.0038
786.667 29.606
800 4.3215
813.333 1.96918
826.667 1.29655
840 1.0617
853.333 1.04735
866.667 1.28963
880 2.32686
893.333 14.5651
906.667 7.15466
920 0.497216
933.333 0.0881477
946.667 0.0129675
960 1.44776e-05
973.333 0.0118064
986.667 0.0591396
1000 0.263597
1013.33 3.55812
1026.67 3.10924
1040 0.465905
1053.33 0.208101
1066.67 0.13344
1080 0.106244
1093.33 0.101934
1106.67 0.122377
1120 0.217299
1133.33 1.44345
1146.67 0.533319
1160 0.0384136
1173.33 0.00662338
1186.67 0.000916022
1200 4.11297e-06
1213.33 0.000909976
1226.67 0.00431631
1240 0.0188362
1253.33 0.276855
1266.67 0.170391
1280 0.026925
1293.33 0.0118498
1306.67 0.00741214
1320 0.00574208
1333.33 0.00536244
1346.67 0.00629091
1360 0.0110814
1373.33 0.0833409
1386.67 0.0200484
1400 0.00153291
1413.33 0.000256798
1426.67 3.26935e-05
1440 4.82622e-07
1453.33 3.81021e-05
1466.67 0.000169362
1480 0.000727111
1493.33 0.0126365
1506.67 0.00462408
1520 0.000789124
1533.33 0.000343553
1546.67 0.00020964
1560 0.000157854
1573.33 0.000143368
1586.67 0.000164525
1600 0.000290174
1613.33 0.00276153
1626.67 0.000352428
1640 2.90934e-05
1653.33 4.70718e-06
1666.67 5.32645e-07
1680 2.31907e-08
1693.33 7.94188e-07
1706.67 3.26579e-06
1720 1.38648e-05
1733.33 0.000331987
1746.67 5.59129e-05
1760 1.04475e-05
1773.33 4.49439e-06
1786.67 2.66165e-06
1800 1.93531e-06
1813.33 1.6984e-06
1826.67 1.89887e-06
1840 3.38008e-06
1853.33 5.10198e-05
1866.67 2.45236e-06
1880 2.18682e-07
1893.33 3.3558e-08
1906.67 3.17476e-09
1920 3.80073e-10
1933.33 6.57653e-09
1946.67 2.4499e-08
1960 1.02753e-07
1973.33 4.85133e-06
1986.67 2.27735e-07
2000 4.5984e-08
2013.33 1.91076e-08
2026.67 1.06721e-08
2040 7.2523e-09
2053.33 5.93452e-09
2066.67 6.23544e-09
2080 1.09601e-08
2093.33 5.02215e-07
2106.67 3.77923e-09
2120 3.3674e-10
2133.33 4.36415e-11
2146.67 2.58463e-12
2160 1.17014e-12
2173.33 8.68341e-12
2186.67 2.42011e-11
2200 8.32666e-11
2213.33 3.73895e-08
2226.67 4.84149e-11
2240 6.4194e-12
2253.33 1.17696e-12
2266.67 1.25756e-13
2280 1.98384e-14
2293.33 2.71972e-13
2306.67 9.84082e-13
2320 4.30721e-12
2333.33 2.43788e-09
2346.67 2.21282e-12
2360 3.18756e-13
2373.33 5.03919e-14
2386.67 7.10478e-15
2400 3.69311e-14
2413.33 1.39429e-13
2426.67 4.63828e-13
2440 2.57525e-12
2453.33 1.39146e-10
2466.67 1.92213e-12
2480 5.96588e-13
2493.33 3.13973e-13
2506.67 2.15551e-13
2520 1.80641e-13
2533.33 1.86243e-13
2546.67 2.61738e-13
2560 8.00035e-13
2573.33 5.63467e-12
2586.67 1.20182e-13
2600 2.81041e-14
2613.33 1.41315e-14
2626.67 1.11156e-14
2640 1.08979e-14
2653.33 1.21974e-14
2666.67 1.69066e-14
2680 5.58758e-14
2693.33 1.86663e-13
2706.67 2.00608e-14
2720 1.28878e-14
2733.33 1.12239e-14
2746.67 1.063e-14
2760 1.03812e-14
2773.33 1.03e-14
2786.67 1.04227e-14
2800 1.22293e-14
2813.33 1.11067e-14
2826.67 9.59117e-15
2840 9.45279e-15
2853.33 9.3188e-15
2866.67 9.13057e-15
2880 8.83844e-15
2893.33 8.32249e-15
2906.67 7.15513e-15
2920 2.23097e-15
2933.33 1.95051e-14
2946.67 1.3216e-14
2960 1.19867e-14
2973.33 1.14969e-14
2986.67 1.1283e-14
3000 1.12522e-14
3013.33 1.14604e-14
3026.67 1.23398e-14
3040 2.27399e-14
3053.33 6.562e-15
3066.67 8.27013e-15
3080 8.70035e-15
3093.33 8.85281e-15
3106.67 8.89405e-15
3120 8.86651e-15
3133.33 8.76181e-15
3146.67 8.45913e-15
3160 5.80378e-15
3173.33 9.93859e-15
