frequency,power
2709,2.32055e-10
2718,2.30451e-10
2727,2.28864e-10
2736,2.27295e-10
2745,2.25742e-10
2754,2.24205e-10
2763,2.22685e-10
2772,2.21181e-10
2781,2.19693e-10
2790,2.1822e-10
2799,2.16763e-10
2808,2.15321e-10
2817,2.13894e-10
2826,2.12482e-10
2835,2.11084e-10
2844,2.097e-10
2853,2.08331e-10
2862,2.06976e-10
2871,2.05634e-10
2880,2.04306e-10
2889,2.02991e-10
2898,2.01689e-10
2907,2.00401e-10
2916,1.99125e-10
2925,1.97862e-10
2934,1.96611e-10
2943,1.95373e-10
2952,1.94147e-10
2961,1.92933e-10
2970,1.91731e-10
2979,1.9054e-10
2988,1.89361e-10
2997,1.88193e-10
3006,1.87037e-10
3015,1.85891e-10
3024,1.84757e-10
3033,1.83633e-10
3042,1.8252e-10
3051,1.81417e-10
3060,1.80325e-10
3069,1.79243e-10
3078,1.78171e-10
3087,1.77109e-10
3096,1.76057e-10
3105,1.75015e-10
3114,1.73983e-10
3123,1.72959e-10
3132,1.71946e-10
3141,1.70941e-10
3150,1.69946e-10
3159,1.6896e-10
3168,1.67982e-10
3177,1.67014e-10
3186,1.66054e-10
3195,1.65103e-10
3204,1.6416e-10
3213,1.63225e-10
3222,1.62299e-10
3231,1.61381e-10
3240,1.60472e-10
3249,1.5957e-10
3258,1.58676e-10
3267,1.5779e-10
3276,1.56912e-10
3285,1.56041e-10
3294,1.55178e-10
3303,1.54322e-10
3312,1.53474e-10
3321,1.52633e-10
3330,1.51799e-10
3339,1.50972e-10
3348,1.50152e-10
3357,1.49339e-10
3366,1.48533e-10
3375,1.47734e-10
3384,1.46942e-10
3393,1.46156e-10
3402,1.45377e-10
3411,1.44604e-10
3420,1.43838e-10
3429,1.43078e-10
3438,1.42324e-10
3447,1.41577e-10
3456,1.40835e-10
3465,1.401e-10
3474,1.39371e-10
3483,1.38647e-10
3492,1.3793e-10
3501,1.37218e-10
3510,1.36512e-10
3519,1.35812e-10
3528,1.35117e-10
3537,1.34428e-10
3546,1.33744e-10
3555,1.33066e-10
3564,1.32393e-10
3573,1.31726e-10
3582,1.31064e-10
3591,1.30407e-10
3600,1.29755e-10
3609,1.29108e-10
3618,1.28467e-10
3627,1.2783e-10
3636,1.27198e-10
3645,1.26571e-10
3654,1.25949e-10
3663,1.25332e-10
3672,1.2472e-10
3681,1.24112e-10
3690,1.23509e-10
