time,signal
0,0.25
2.77778e-05,0.25
5.55556e-05,0.248462
8.33333e-05,0.245414
0.000111111,0.240913
0.000138889,0.235039
0.000166667,0.227898
0.000194444,0.219614
0.000222222,0.21033
0.00025,0.200199
0.000277778,0.189383
0.000305556,0.17805
0.000333333,0.166365
0.000361111,0.154491
0.000388889,0.142582
0.000416667,0.130781
0.000444444,0.119219
0.000472222,0.108011
0.0005,0.0972539
0.000527778,0.0870298
0.000555556,0.0774014
0.000583333,0.0684147
0.000611111,0.0600995
0.000638889,0.0524701
0.000666667,0.0455274
0.000694444,0.0392604
0.000722222,0.0336477
0.00075,0.02866
0.000777778,0.0242615
0.000805556,0.0204117
0.000833333,0.0170672
0.000861111,0.0141828
0.000888889,0.0117134
0.000916667,0.0096145
0.000944444,0.00784311
0.000972222,0.00635873
0.001,0.00512357
0.00102778,0.00410294
0.00105556,0.0032654
0.00108333,0.00258285
0.00111111,0.0020304
0.00113889,0.0015863
0.00116667,0.00123171
0.00119444,0.000950495
0.00122222,0.000728975
0.00125,0.000555643
0.00127778,0.000420919
0.00130556,0.0003169
0.00133333,0.000237119
0.00136111,0.000176331
0.00138889,0.000130321
0.00141667,9.57231e-05
0.00144444,6.9878e-05
0.00147222,5.06973e-05
0.0015,3.65552e-05
0.00152778,2.61959e-05
0.00155556,1.86568e-05
0.00158333,1.32057e-05
0.00161111,9.28983e-06
0.00163889,6.4949e-06
0.00166667,4.51292e-06
0.00169444,3.11647e-06
0.00172222,2.13889e-06
0.00175,1.45893e-06
0.00177778,9.8901e-07
0.00180556,6.66326e-07
0.00183333,4.46163e-07
0.00186111,2.96907e-07
0.00188889,1.96366e-07
0.00191667,1.29072e-07
0.00194444,8.43181e-08
0.00197222,5.4743e-08
0.002,3.53229e-08
0.00202778,2.26519e-08
0.00205556,1.44368e-08
0.00208333,9.14452e-09
0.00211111,5.75665e-09
0.00213889,3.60162e-09
0.00216667,2.23948e-09
0.00219444,1.38394e-09
0.00222222,8.49977e-10
0.00225,5.1882e-10
0.00227778,3.14737e-10
0.00230556,1.89757e-10
0.00233333,1.13703e-10
0.00236111,6.77109e-11
0.00238889,4.00752e-11
0.00241667,2.35721e-11
0.00244444,1.37806e-11
0.00247222,8.00596e-12
0.0025,4.62333e-12
0.00252778,2.65266e-12
0.00255556,1.51346e-12
0.00258333,8.5737e-13
0.00261111,4.83502e-13
0.00263889,2.70228e-13
0.00266667,1.50852e-13
0.00269444,8.29892e-14
0.00272222,4.60743e-14
0.00275,2.4758e-14
0.00277778,1.38778e-14
0.00280556,7.04992e-15
0.00283333,4.21885e-15
0.00286111,1.85962e-15
