x, 0, 0.000396825, 0.000793651, 0.00119048, 0.0015873, 0.00198413, 0.00238095, 0.00277778, 0.0031746, 0.00357143, 0.00396825, 0.00436508, 0.0047619, 0.00515873, 0.00555556, 0.00595238, 0.00634921, 0.00674603, 0.00714286, 0.00753968, 0.00793651, 0.00833333, 0.00873016, 0.00912698, 0.00952381, 0.00992063, 0.0103175, 0.0107143, 0.0111111, 0.0115079, 0.0119048, 0.0123016, 0.0126984, 0.0130952, 0.0134921, 0.0138889, 0.0142857, 0.0146825, 0.0150794, 0.0154762, 0.015873, 0.0162698, 0.0166667, 0.0170635, 0.0174603, 0.0178571, 0.018254, 0.0186508, 0.0190476, 0.0194444, 0.0198413, 0.0202381, 0.0206349, 0.0210317, 0.0214286, 0.0218254, 0.0222222, 0.022619, 0.0230159, 0.0234127, 0.0238095, 0.0242063, 0.0246032, 0.025, 0.0253968, 0.0257937, 0.0261905, 0.0265873, 0.0269841, 0.027381, 0.0277778, 0.0281746, 0.0285714, 0.0289683, 0.0293651, 0.0297619, 0.0301587, 0.0305556, 0.0309524, 0.0313492
0, 4.63651e-69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00666667, 1.8489e-68, 8.86985e-65, 1.17419e-60, 1.08621e-56, 7.06138e-53, 3.2433e-49, 1.05781e-45, 2.46169e-42, 4.10596e-39, 4.92932e-36, 4.27621e-33, 2.69039e-30, 1.23173e-27, 4.11618e-25, 1.00684e-22, 1.80712e-20, 2.38517e-18, 2.31931e-16, 1.66403e-14, 8.81909e-13, 3.45517e-11, 1.00098e-09, 2.14383e-08, 3.39141e-07, 3.95598e-06, 3.39296e-05, 0.000213012, 0.000971915, 0.00318501, 0.0073374, 0.0113565, 0.0103782, 0.00219447, -0.00779324, -0.011942, -0.00929414, -0.00463169, -0.00157182, -0.000371919, -6.19706e-05, -7.29718e-06, -6.07258e-07, -3.57724e-08, -9.06063e-09, -1.26241e-07, -1.59989e-06, -1.5032e-05, -0.000104715, -0.000536768, -0.0020032, -0.00534818, -0.00988235, -0.0116807, -0.00646773, 0.00377995, 0.0111413, 0.0110553, 0.00659095, 0.00260992, 0.000709519, 0.000134062, 1.76662e-05, 1.62169e-06, 1.03466e-07, 4.76236e-09, 3.71091e-10, 2.537e-10, 2.64984e-10, 2.54251e-10, 1.96133e-10, 8.21138e-11, -6.45925e-11, -1.82955e-10, -1.99116e-10, -8.49278e-11, 8.97384e-11, 1.80938e-10, 9.5236e-11, -8.67039e-11, -1.59391e-10
0.0133333, 7.32756e-68, 3.59362e-64, 4.56762e-60, 4.06103e-56, 2.53991e-52, 1.12348e-48, 3.53251e-45, 7.93333e-42, 1.27833e-38, 1.48417e-35, 1.2465e-32, 7.60089e-30, 3.3765e-27, 1.09608e-24, 2.60741e-22, 4.55673e-20, 5.86312e-18, 5.56481e-16, 3.90199e-14, 2.0237e-12, 7.76908e-11, 2.2085e-09, 4.64772e-08, 7.23493e-07, 8.31674e-06, 7.04014e-05, 0.000436902, 0.00197369, 0.00641421, 0.0146785, 0.0226068, 0.0205932, 0.00434713, -0.0154528, -0.0237341, -0.0185509, -0.00930284, -0.00318329, -0.000761053, -0.000128398, -1.53413e-05, -1.29827e-06, -7.79841e-08, -1.98583e-08, -2.70466e-07, -3.37621e-06, -3.13165e-05, -0.000215623, -0.001094, -0.0040471, -0.0107273, -0.0197109, -0.0232059, -0.0128197, 0.00749368, 0.0221147, 0.0220189, 0.0131991, 0.00526636, 0.00144574, 0.000276478, 3.69613e-05, 3.44987e-06, 2.23712e-07, 9.84338e-09, 1.00947e-10, -2.24452e-10, -2.52759e-10, -2.50513e-10, -1.98255e-10, -8.30186e-11, 7.4185e-11, 2.07026e-10, 2.28111e-10, 9.70595e-11, -1.10676e-10, -2.22409e-10, -1.16915e-10, 1.12669e-10, 2.06115e-10
0.02, 2.88622e-67, 1.3605e-63, 1.65142e-59, 1.40309e-55, 8.39152e-52, 3.5518e-48, 1.06935e-44, 2.30113e-41, 3.55536e-38, 3.9609e-35, 3.19449e-32, 1.87202e-29, 7.99855e-27, 2.49957e-24, 5.72945e-22, 9.65764e-20, 1.19984e-17, 1.10083e-15, 7.47088e-14, 3.75516e-12, 1.39919e-10, 3.8664e-09, 7.92297e-08, 1.20312e-06, 1.35179e-05, 0.000112079, 0.000682798, 0.00303519, 0.00973064, 0.0220255, 0.0336457, 0.0304863, 0.0064175, -0.0228489, -0.0352291, -0.0277317, -0.0140512, -0.00487367, -0.00118487, -0.000203924, -2.49337e-05, -2.16588e-06, -1.34044e-07, -3.43478e-08, -4.52816e-07, -5.52112e-06, -5.0179e-05, -0.000339117, -0.00169234, -0.00617184, -0.0161665, -0.0294313, -0.0344233, -0.0189436, 0.0110769, 0.0327563, 0.0327995, 0.0198396, 0.00801487, 0.00223547, 0.000435863, 5.96169e-05, 5.71343e-06, 3.81972e-07, 1.76409e-08, 5.09261e-10, -2.85866e-11, -2.44616e-11, -6.88762e-12, 6.19529e-12, 4.47487e-12, -1.77048e-11, -4.98968e-11, -6.27073e-11, -2.77513e-11, 4.49656e-11, 9.22612e-11, 4.95471e-11, -5.83646e-11, -1.07295e-10
0.0266667, 1.12986e-66, 5.0985e-63, 5.90578e-59, 4.79088e-55, 2.73716e-51, 1.10727e-47, 3.18774e-44, 6.56253e-41, 9.70476e-38, 1.03531e-34, 7.99941e-32, 4.49323e-29, 1.84105e-26, 5.5202e-24, 1.21474e-21, 1.96693e-19, 2.34901e-17, 2.07327e-15, 1.35473e-13, 6.56274e-12, 2.35939e-10, 6.2989e-09, 1.24891e-07, 1.83819e-06, 2.00578e-05, 0.000161873, 0.000962314, 0.0041862, 0.013175, 0.0293768, 0.04437, 0.0399067, 0.00836769, -0.029859, -0.0462856, -0.0367962, -0.0189109, -0.00668144, -0.00166135, -0.000293567, -3.69865e-05, -3.32175e-06, -2.13411e-07, -5.49669e-08, -6.97858e-07, -8.25869e-06, -7.30923e-05, -0.000481989, -0.00235278, -0.00841642, -0.0216917, -0.0389878, -0.0451867, -0.0247339, 0.014469, 0.0429105, 0.043307, 0.026524, 0.0108989, 0.00310577, 0.000621343, 8.75652e-05, 8.68104e-06, 6.02992e-07, 2.93812e-08, 1.23273e-09, 2.94501e-10, 2.7828e-10, 2.55977e-10, 1.87811e-10, 7.26581e-11, -5.9975e-11, -1.53566e-10, -1.54982e-10, -6.10816e-11, 5.94246e-11, 1.09348e-10, 5.28617e-11, -4.01609e-11, -6.68929e-11
0.0333333, 4.39585e-66, 1.89846e-62, 2.09842e-58, 1.62519e-54, 8.86893e-51, 3.42853e-47, 9.43649e-44, 1.85803e-40, 2.62903e-37, 2.68456e-34, 1.98616e-31, 1.06861e-28, 4.1955e-26, 1.20581e-23, 2.54431e-21, 3.9518e-19, 4.52881e-17, 3.83744e-15, 2.40852e-13, 1.12139e-11, 3.87761e-10, 9.96578e-09, 1.90434e-07, 2.70497e-06, 2.8533e-05, 0.000223063, 0.00128778, 0.00545641, 0.0167847, 0.0367265, 0.0546796, 0.0487158, 0.0101635, -0.0363718, -0.0567708, -0.0457011, -0.0239114, -0.00864381, -0.00220918, -0.000402903, -5.25828e-05, -4.90751e-06, -3.28916e-07, -8.50024e-08, -1.03713e-06, -1.18623e-05, -0.000101753, -0.00065162, -0.00309682, -0.0108181, -0.0273237, -0.0483235, -0.0553596, -0.0300946, 0.0176151, 0.0524336, 0.0534532, 0.0332583, 0.0139591, 0.00408391, 0.0008428, 0.000123046, 1.26854e-05, 9.18969e-07, 4.63271e-08, 1.45042e-09, -1.71173e-10, -2.39956e-10, -2.44144e-10, -1.93232e-10, -7.36846e-11, 9.04724e-11, 2.25681e-10, 2.3882e-10, 9.33527e-11, -1.22081e-10, -2.26771e-10, -1.10749e-10, 1.14109e-10, 1.93045e-10
0.04, 1.69975e-65, 7.02568e-62, 7.41045e-58, 5.47948e-54, 2.85625e-50, 1.05516e-46, 2.77645e-43, 5.22853e-40, 7.07835e-37, 6.91795e-34, 4.90037e-31, 2.52513e-28, 9.49782e-26, 2.61588e-23, 5.29076e-21, 7.87895e-19, 8.65952e-17, 7.03893e-15, 4.23935e-13, 1.89471e-11, 6.29178e-10, 1.55376e-08, 2.85491e-07, 3.90303e-06, 3.96766e-05, 0.000299429, 0.00167243, 0.00687522, 0.0205924, 0.0440621, 0.064479, 0.0567903, 0.0117755, -0.0422895, -0.0665624, -0.0543998, -0.0290754, -0.0107962, -0.00284793, -0.000538254, -7.30433e-05, -7.10805e-06, -4.98446e-07, -1.29114e-07, -1.5123e-06, -1.66745e-05, -0.000138162, -0.00085617, -0.00394655, -0.0134117, -0.0330769, -0.0573795, -0.0648171, -0.0349422, 0.020467, 0.0611973, 0.0631522, 0.0400415, 0.0172318, 0.00519747, 0.0011111, 0.000168725, 1.81547e-05, 1.37666e-06, 7.291e-08, 2.57292e-09, -1.68155e-11, -4.94959e-11, -1.44731e-11, 1.07846e-11, 5.5031e-12, -3.92332e-11, -9.9842e-11, -1.18588e-10, -4.60223e-11, 9.01758e-11, 1.68953e-10, 8.22402e-11, -1.08509e-10, -1.82177e-10
0.0466667, 6.53211e-65, 2.58411e-61, 2.60104e-57, 1.83627e-53, 9.14312e-50, 3.22784e-46, 8.12016e-43, 1.46254e-39, 1.89442e-36, 1.77211e-33, 1.20186e-30, 5.93128e-28, 2.13723e-25, 5.6405e-23, 1.09344e-20, 1.56103e-18, 1.6451e-16, 1.28246e-14, 7.40901e-13, 3.17699e-11, 1.01243e-09, 2.40012e-08, 4.23529e-07, 5.56417e-06, 5.44029e-05, 0.000395388, 0.00213062, 0.00847156, 0.0246253, 0.0513643, 0.0736777, 0.0640249, 0.0131799, -0.0475305, -0.0755517, -0.0628422, -0.0344177, -0.0131719, -0.00359814, -0.000706867, -9.99994e-05, -1.01676e-05, -7.47175e-07, -1.94076e-07, -2.17921e-06, -2.31304e-05, -0.000184715, -0.00110475, -0.00492463, -0.016229, -0.038958, -0.0660952, -0.0734491, -0.0392077, 0.0229849, 0.0690914, 0.0723214, 0.0468646, 0.0207483, 0.00647414, 0.00143831, 0.000227807, 2.56416e-05, 2.03936e-06, 1.13973e-07, 4.69042e-09, 4.11576e-10, 2.92943e-10, 2.54805e-10, 1.73379e-10, 5.6578e-11, -5.73448e-11, -1.1807e-10, -1.00462e-10, -3.36713e-11, 1.79018e-11, 1.96739e-11, 5.48144e-12, 2.22633e-11, 4.29014e-11
0.0533333, 2.49485e-64, 9.44645e-61, 9.07402e-57, 6.11644e-53, 2.90917e-49, 9.81509e-46, 2.36068e-42, 4.06671e-39, 5.04008e-36, 4.51261e-33, 2.93026e-30, 1.38499e-27, 4.78094e-25, 1.20907e-22, 2.24644e-20, 3.07445e-18, 3.10656e-16, 2.32237e-14, 1.2868e-12, 5.29287e-11, 1.61819e-09, 3.68093e-08, 6.2341e-07, 7.86346e-06, 7.38587e-05, 0.000516126, 0.00267789, 0.0102736, 0.0289039, 0.058606, 0.0821922, 0.0703348, 0.0143586, -0.0520314, -0.0836449, -0.0709745, -0.0399443, -0.0158009, -0.00448142, -0.000917094, -0.000135477, -1.44101e-05, -1.11054e-06, -2.89797e-07, -3.11334e-06, -3.17865e-05, -0.000244299, -0.0014076, -0.00605433, -0.019298, -0.0449652, -0.0744087, -0.0811618, -0.042838, 0.0251378, 0.076026, 0.0808828, 0.0537095, 0.0245343, 0.00794156, 0.00183784, 0.000304169, 3.58614e-05, 2.99295e-06, 1.7535e-07, 7.02193e-09, 1.64643e-11, -2.21624e-10, -2.33102e-10, -1.7924e-10, -5.2732e-11, 1.13537e-10, 2.37427e-10, 2.2973e-10, 7.47608e-11, -1.20702e-10, -1.92955e-10, -8.1047e-11, 8.69391e-11, 1.25025e-10
0.06, 9.47022e-64, 3.43212e-60, 3.14632e-56, 2.025e-52, 9.20069e-49, 2.96664e-45, 6.82196e-42, 1.12406e-38, 1.33296e-35, 1.14233e-32, 7.10219e-30, 3.21503e-27, 1.06321e-24, 2.5765e-22, 4.5882e-20, 6.01959e-18, 5.83184e-16, 4.18067e-14, 2.22161e-12, 8.76465e-11, 2.57041e-09, 5.60924e-08, 9.11483e-07, 1.10332e-05, 9.94821e-05, 0.00066774, 0.00333111, 0.0123083, 0.0334414, 0.0657522, 0.0899467, 0.075657, 0.0153002, -0.0557476, -0.0907646, -0.0787398, -0.0456513, -0.0187099, -0.00552031, -0.00117855, -0.000181986, -2.02632e-05, -1.6382e-06, -4.30669e-07, -4.41683e-06, -4.33549e-05, -0.000320396, -0.00177619, -0.00735932, -0.0226421, -0.0510872, -0.0822572, -0.0878795, -0.045797, 0.0269045, 0.0819333, 0.0887637, 0.060549, 0.028608, 0.00962701, 0.00232462, 0.000402493, 4.97425e-05, 4.35855e-06, 2.68407e-07, 1.13559e-08, 2.08852e-10, -7.17005e-11, -2.31794e-11, 1.20694e-11, -2.62059e-13, -6.7618e-11, -1.48709e-10, -1.60788e-10, -4.76639e-11, 1.3319e-10, 2.16299e-10, 8.80067e-11, -1.39736e-10, -2.02295e-10
