theta,impact_speed
4,182.364
6,190.382
8,198.067
10,205.804
12,213.551
14,220.865
16,227.72
18,234.479
20,240.717
22,246.409
24,251.533
26,256.066
28,259.987
30,263.275
32,265.91
34,267.551
36,268.833
38,268.799
40,268.373
42,266.941
44,264.518
46,261.385
48,257.532
50,252.701
52,246.913
54,240.192
56,232.776
58,224.458
60,215.264
62,205.227
64,194.549
66,182.916
68,170.692
70,157.749
72,144.009
74,129.773
76,114.958
78,99.6157
80,83.8048
37,269.056
