time,x,y,vx,vy,v
0,0,60,48.2963,12.941,50
0,0.482845,60.1284,48.2845,12.8389,39.3114
0.01,0.965573,60.2558,48.2728,12.7368,39.2668
0.02,1.44818,60.3821,48.261,12.6348,39.2224
0.03,1.93068,60.5074,48.2493,12.5328,39.1783
0.04,2.41305,60.6317,48.2376,12.4308,39.1344
0.05,2.89531,60.755,48.226,12.3289,39.0908
0.06,3.37746,60.8773,48.2143,12.227,39.0474
0.07,3.85948,60.9986,48.2026,12.1252,39.0043
0.08,4.34139,61.1188,48.191,12.0234,38.9614
0.09,4.82319,61.238,48.1794,11.9216,38.9188
0.1,5.30486,61.3562,48.1678,11.8199,38.8764
0.11,5.78643,61.4734,48.1562,11.7181,38.8343
0.12,6.26787,61.5895,48.1447,11.6165,38.7924
0.13,6.7492,61.7047,48.1331,11.5149,38.7508
0.14,7.23042,61.8188,48.1216,11.4133,38.7094
0.15,7.71152,61.9319,48.11,11.3117,38.6683
0.16,8.19251,62.044,48.0985,11.2102,38.6274
0.17,8.67338,62.1551,48.0871,11.1087,38.5868
0.18,9.15413,62.2652,48.0756,11.0072,38.5465
0.19,9.63477,62.3743,48.0641,10.9058,38.5063
0.2,10.1153,62.4823,48.0527,10.8044,38.4665
0.21,10.5957,62.5893,48.0413,10.7031,38.4269
0.22,11.076,62.6954,48.0299,10.6018,38.3876
0.23,11.5562,62.8004,48.0185,10.5005,38.3485
0.24,12.0363,62.9044,48.0071,10.3993,38.3096
0.25,12.5162,63.0073,47.9957,10.2981,38.271
0.26,12.9961,63.1093,47.9844,10.1969,38.2327
0.27,13.4758,63.2103,47.973,10.0957,38.1947
0.28,13.9554,63.3102,47.9617,9.99463,38.1569
0.29,14.4349,63.4091,47.9504,9.89356,38.1193
0.3,14.9143,63.5071,47.9391,9.79252,38.082
0.31,15.3936,63.604,47.9278,9.69152,38.045
0.32,15.8728,63.6999,47.9166,9.59055,38.0082
0.33,16.3518,63.7948,47.9053,9.48961,37.9717
0.34,16.8307,63.8887,47.8941,9.38871,37.9354
0.35,17.3096,63.9815,47.8829,9.28784,37.8994
0.36,17.7883,64.0734,47.8717,9.187,37.8637
0.37,18.2669,64.1643,47.8605,9.0862,37.8282
0.38,18.7454,64.2541,47.8493,8.98543,37.793
0.39,19.2238,64.343,47.8381,8.8847,37.758
0.4,19.702,64.4308,47.827,8.784,37.7233
0.41,20.1802,64.5177,47.8158,8.68333,37.6889
0.42,20.6582,64.6035,47.8047,8.58269,37.6547
0.43,21.1362,64.6883,47.7936,8.48209,37.6208
0.44,21.614,64.7721,47.7825,8.38152,37.5872
0.45,22.0917,64.8549,47.7714,8.28098,37.5538
0.46,22.5693,64.9367,47.7604,8.18047,37.5207
0.47,23.0468,65.0175,47.7493,8.08,37.4878
0.48,23.5242,65.0973,47.7383,7.97956,37.4552
0.49,24.0015,65.1761,47.7272,7.87915,37.4229
0.5,24.4786,65.2539,47.7162,7.77878,37.3908
0.51,24.9557,65.3307,47.7052,7.67844,37.359
0.52,25.4326,65.4065,47.6942,7.57813,37.3275
0.53,25.9095,65.4813,47.6832,7.47785,37.2962
0.54,26.3862,65.555,47.6723,7.3776,37.2652
0.55,26.8628,65.6278,47.6613,7.27739,37.2345
0.56,27.3393,65.6996,47.6504,7.1772,37.204
0.57,27.8157,65.7703,47.6394,7.07705,37.1738
0.58,28.292,65.8401,47.6285,6.97693,37.1439
