time,x,y,vx,vy,v
0,0,60,44.5503,22.6995,50
0,0.445324,60.2259,44.5324,22.5924,50
0.01,0.890468,60.4508,44.5144,22.4853,49.9354
0.02,1.33543,60.6746,44.4965,22.3782,49.8711
0.03,1.78022,60.8973,44.4787,22.2713,49.8069
0.04,2.22483,61.1189,44.4608,22.1643,49.7429
0.05,2.66926,61.3395,44.443,22.0574,49.6792
0.06,3.11351,61.559,44.4252,21.9506,49.6157
0.07,3.55759,61.7774,44.4075,21.8438,49.5523
0.08,4.00148,61.9948,44.3898,21.7371,49.4892
0.09,4.4452,62.2111,44.3721,21.6305,49.4263
0.1,4.88875,62.4263,44.3544,21.5239,49.3635
0.11,5.33212,62.6405,44.3368,21.4173,49.301
0.12,5.77531,62.8536,44.3192,21.3108,49.2387
0.13,6.21833,63.0657,44.3016,21.2044,49.1766
0.14,6.66117,63.2767,44.2841,21.098,49.1148
0.15,7.10383,63.4866,44.2666,20.9916,49.0531
0.16,7.54632,63.6954,44.2491,20.8853,48.9916
0.17,7.98864,63.9032,44.2316,20.7791,48.9303
0.18,8.43078,64.1099,44.2142,20.6729,48.8693
0.19,8.87275,64.3156,44.1968,20.5668,48.8084
0.2,9.31454,64.5202,44.1794,20.4607,48.7478
0.21,9.75616,64.7238,44.1621,20.3546,48.6874
0.22,10.1976,64.9262,44.1448,20.2487,48.6272
0.23,10.6389,65.1277,44.1275,20.1427,48.5672
0.24,11.08,65.328,44.1102,20.0369,48.5074
0.25,11.5209,65.5274,44.093,19.931,48.4478
0.26,11.9617,65.7256,44.0758,19.8253,48.3884
0.27,12.4023,65.9228,44.0586,19.7195,48.3293
0.28,12.8427,66.1189,44.0415,19.6139,48.2703
0.29,13.2829,66.314,44.0244,19.5082,48.2116
0.3,13.723,66.5081,44.0073,19.4027,48.153
0.31,14.1629,66.701,43.9902,19.2971,48.0947
0.32,14.6026,66.8929,43.9732,19.1917,48.0366
0.33,15.0422,67.0838,43.9562,19.0862,47.9787
0.34,15.4816,67.2736,43.9392,18.9809,47.9211
0.35,15.9208,67.4624,43.9222,18.8755,47.8636
0.36,16.3599,67.6501,43.9053,18.7703,47.8063
0.37,16.7987,67.8367,43.8884,18.665,47.7493
0.38,17.2375,68.0223,43.8715,18.5599,47.6925
0.39,17.676,68.2069,43.8547,18.4547,47.6359
0.4,18.1144,68.3904,43.8378,18.3497,47.5795
0.41,18.5526,68.5728,43.821,18.2446,47.5233
0.42,18.9906,68.7542,43.8043,18.1396,47.4674
0.43,19.4285,68.9346,43.7875,18.0347,47.4116
0.44,19.8662,69.1138,43.7708,17.9298,47.3561
0.45,20.3038,69.2921,43.7541,17.825,47.3008
0.46,20.7411,69.4693,43.7374,17.7202,47.2457
0.47,21.1783,69.6455,43.7208,17.6155,47.1908
0.48,21.6154,69.8206,43.7042,17.5108,47.1361
0.49,22.0523,69.9946,43.6876,17.4061,47.0817
0.5,22.489,70.1676,43.671,17.3015,47.0274
0.51,22.9255,70.3396,43.6545,17.197,46.9734
0.52,23.3619,70.5105,43.638,17.0925,46.9196
0.53,23.7981,70.6804,43.6215,16.988,46.866
0.54,24.2342,70.8492,43.605,16.8836,46.8127
0.55,24.67,71.017,43.5886,16.7792,46.7595
0.56,25.1058,71.1838,43.5722,16.6749,46.7066
0.57,25.5413,71.3495,43.5558,16.5706,46.6539
0.58,25.9767,71.5142,43.5394,16.4664,46.6014
0.59,26.4119,71.6778,43.5231,16.3622,46.5492
0.6,26.847,71.8404,43.5068,16.2581,46.4971
0.61,27.2819,72.0019,43.4905,16.154,46.4453
0.62,27.7167,72.1624,43.4742,16.05,46.3937
0.63,28.1512,72.3219,43.458,15.946,46.3423
0.64,28.5857,72.4803,43.4417,15.842,46.2911
0.65,29.0199,72.6377,43.4255,15.7381,46.2402
0.66,29.454,72.794,43.4094,15.6342,46.1895
0.67,29.8879,72.9493,43.3932,15.5304,46.139
0.68,30.3217,73.1036,43.3771,15.4267,46.0887
0.69,30.7553,73.2568,43.361,15.3229,46.0386
0.7,31.1888,73.409,43.3449,15.2192,45.9888
0.71,31.6221,73.5602,43.3289,15.1156,45.9392
0.72,32.0552,73.7103,43.3128,15.012,45.8898
0.73,32.4882,73.8594,43.2968,14.9085,45.8406
0.74,32.921,74.0074,43.2808,14.805,45.7917
0.75,33.3536,74.1544,43.2649,14.7015,45.743
0.76,33.7861,74.3004,43.2489,14.5981,45.6945
0.77,34.2184,74.4454,43.233,14.4947,45.6462
0.78,34.6506,74.5893,43.2171,14.3914,45.5982
0.79,35.0826,74.7321,43.2013,14.2881,45.5503
0.8,35.5145,74.874,43.1854,14.1849,45.5027
0.81,35.9462,75.0148,43.1696,14.0817,45.4554
0.82,36.3777,75.1546,43.1538,13.9785,45.4082
0.83,36.8091,75.2934,43.138,13.8754,45.3613
0.84,37.2403,75.4311,43.1222,13.7723,45.3146
0.85,37.6714,75.5678,43.1065,13.6693,45.2681
0.86,38.1023,75.7034,43.0908,13.5663,45.2219
0.87,38.533,75.8381,43.0751,13.4634,45.1759
