Time,N_numeric,R_numeric,N_analytical,R_analytical
13.5,13.0961,0.261922,13.0996,0.261993
13.6,13.1223,0.262446,13.1259,0.262517
13.7,13.1485,0.262971,13.1521,0.263043
13.8,13.1748,0.263497,13.1785,0.26357
13.9,13.2012,0.264024,13.2049,0.264097
14,13.2276,0.264552,13.2313,0.264626
14.1,13.2541,0.265081,13.2578,0.265156
14.2,13.2806,0.265611,13.2843,0.265687
14.3,13.3071,0.266142,13.3109,0.266218
14.4,13.3337,0.266675,13.3376,0.266751
14.5,13.3604,0.267208,13.3643,0.267285
14.6,13.3871,0.267743,13.391,0.267821
14.7,13.4139,0.268278,13.4178,0.268357
14.8,13.4407,0.268815,13.4447,0.268894
14.9,13.4676,0.269352,13.4716,0.269432
15,13.4945,0.269891,13.4986,0.269972
15.1,13.5215,0.270431,13.5256,0.270512
15.2,13.5486,0.270972,13.5527,0.271054
15.3,13.5757,0.271513,13.5798,0.271596
15.4,13.6028,0.272057,13.607,0.27214
15.5,13.63,0.272601,13.6343,0.272685
15.6,13.6573,0.273146,13.6615,0.273231
15.7,13.6846,0.273692,13.6889,0.273778
15.8,13.712,0.274239,13.7163,0.274326
15.9,13.7394,0.274788,13.7438,0.274875
16,13.7669,0.275338,13.7713,0.275426
16.1,13.7944,0.275888,13.7988,0.275977
16.2,13.822,0.27644,13.8265,0.276529
16.3,13.8496,0.276993,13.8542,0.277083
16.4,13.8773,0.277547,13.8819,0.277638
16.5,13.9051,0.278102,13.9097,0.278194
16.6,13.9329,0.278658,13.9375,0.278751
16.7,13.9608,0.279215,13.9654,0.279309
16.8,13.9887,0.279774,13.9934,0.279868
16.9,14.0167,0.280333,14.0214,0.280428
17,14.0447,0.280894,14.0495,0.28099
17.1,14.0728,0.281456,14.0776,0.281552
17.2,14.1009,0.282019,14.1058,0.282116
17.3,14.1291,0.282583,14.134,0.282681
17.4,14.1574,0.283148,14.1623,0.283246
17.5,14.1857,0.283714,14.1907,0.283814
17.6,14.2141,0.284282,14.2191,0.284382
17.7,14.2425,0.28485,14.2476,0.284951
17.8,14.271,0.28542,14.2761,0.285522
17.9,14.2995,0.285991,14.3047,0.286093
18,14.3281,0.286563,14.3333,0.286666
18.1,14.3568,0.287136,14.362,0.28724
18.2,14.3855,0.28771,14.3907,0.287815
18.3,14.4143,0.288286,14.4196,0.288391
18.4,14.4431,0.288862,14.4484,0.288968
18.5,14.472,0.28944,14.4773,0.289547
18.6,14.5009,0.290019,14.5063,0.290127
18.7,14.5299,0.290599,14.5354,0.290707
18.8,14.559,0.29118,14.5645,0.291289
18.9,14.5881,0.291762,14.5936,0.291873
19,14.6173,0.292346,14.6228,0.292457
19.1,14.6465,0.292931,14.6521,0.293042
19.2,14.6758,0.293517,14.6815,0.293629
19.3,14.7052,0.294104,14.7108,0.294217
19.4,14.7346,0.294692,14.7403,0.294806
19.5,14.7641,0.295281,14.7698,0.295396
19.6,14.7936,0.295872,14.7994,0.295988
19.7,14.8232,0.296463,14.829,0.29658
19.8,14.8528,0.297056,14.8587,0.297174
19.9,14.8825,0.29765,14.8884,0.297769
20,14.9123,0.298246,14.9182,0.298365
20.1,14.9421,0.298842,14.9481,0.298962
20.2,14.972,0.29944,14.978,0.299561
20.3,15.0019,0.300039,15.008,0.300161
20.4,15.0319,0.300639,15.0381,0.300761
20.5,15.062,0.30124,15.0682,0.301364
20.6,15.0921,0.301843,15.0983,0.301967
20.7,15.1223,0.302446,15.1286,0.302571
