Time,Population
36.7,20.8187
36.8,20.8603
36.9,20.9021
37,20.9439
37.1,20.9858
37.2,21.0277
37.3,21.0698
37.4,21.1119
37.5,21.1541
37.6,21.1965
37.7,21.2389
37.8,21.2813
37.9,21.3239
38,21.3665
38.1,21.4093
38.2,21.4521
38.3,21.495
38.4,21.538
38.5,21.5811
38.6,21.6242
38.7,21.6675
38.8,21.7108
38.9,21.7542
39,21.7977
39.1,21.8413
39.2,21.885
39.3,21.9288
39.4,21.9726
39.5,22.0166
39.6,22.0606
39.7,22.1047
39.8,22.149
39.9,22.1932
40,22.2376
40.1,22.2821
40.2,22.3267
40.3,22.3713
40.4,22.4161
40.5,22.4609
40.6,22.5058
40.7,22.5508
40.8,22.5959
40.9,22.6411
41,22.6864
41.1,22.7318
41.2,22.7772
41.3,22.8228
41.4,22.8684
41.5,22.9142
41.6,22.96
41.7,23.0059
41.8,23.0519
41.9,23.0981
42,23.1442
42.1,23.1905
42.2,23.2369
42.3,23.2834
42.4,23.33
42.5,23.3766
42.6,23.4234
42.7,23.4702
42.8,23.5172
42.9,23.5642
43,23.6113
43.1,23.6585
43.2,23.7059
43.3,23.7533
43.4,23.8008
43.5,23.8484
43.6,23.8961
43.7,23.9439
43.8,23.9918
43.9,24.0397
44,24.0878
44.1,24.136
44.2,24.1843
44.3,24.2326
44.4,24.2811
44.5,24.3297
44.6,24.3783
44.7,24.4271
44.8,24.4759
44.9,24.5249
45,24.5739
45.1,24.6231
45.2,24.6723
45.3,24.7217
45.4,24.7711
45.5,24.8207
45.6,24.8703
45.7,24.92
45.8,24.9699
45.9,25.0198
46,25.0699
46.1,25.12
46.2,25.1702
46.3,25.2206
46.4,25.271
46.5,25.3216
46.6,25.3722
46.7,25.423
46.8,25.4738
46.9,25.5247
47,25.5758
47.1,25.6269
47.2,25.6782
47.3,25.7296
47.4,25.781
47.5,25.8326
47.6,25.8842
47.7,25.936
47.8,25.9879
47.9,26.0399
48,26.0919
48.1,26.1441
48.2,26.1964
48.3,26.2488
48.4,26.3013
48.5,26.3539
48.6,26.4066
48.7,26.4594
48.8,26.5123
48.9,26.5654
49,26.6185
49.1,26.6717
49.2,26.7251
49.3,26.7785
49.4,26.8321
49.5,26.8858
49.6,26.9395
49.7,26.9934
49.8,27.0474
49.9,27.1015
50,27.1557
50.1,27.21
50.2,27.2644
50.3,27.3189
50.4,27.3736
50.5,27.4283
50.6,27.4832
50.7,27.5382
50.8,27.5932
50.9,27.6484
51,27.7037
51.1,27.7591
51.2,27.8146
51.3,27.8703
51.4,27.926
51.5,27.9819
51.6,28.0378
51.7,28.0939
51.8,28.1501
51.9,28.2064
52,28.2628
52.1,28.3193
52.2,28.376
52.3,28.4327
52.4,28.4896
52.5,28.5466
52.6,28.6037
52.7,28.6609
52.8,28.7182
52.9,28.7756
53,28.8332
53.1,28.8908
53.2,28.9486
53.3,29.0065
53.4,29.0645
53.5,29.1227
53.6,29.1809
53.7,29.2393
53.8,29.2977
53.9,29.3563
54,29.4151
54.1,29.4739
54.2,29.5328
54.3,29.5919
54.4,29.6511
54.5,29.7104
54.6,29.7698
54.7,29.8293
54.8,29.889
54.9,29.9488
55,30.0087
55.1,30.0687
55.2,30.1288
55.3,30.1891
55.4,30.2495
55.5,30.31
55.6,30.3706
55.7,30.4313
55.8,30.4922
55.9,30.5532
56,30.6143
56.1,30.6755
56.2,30.7369
56.3,30.7983
56.4,30.8599
56.5,30.9217
56.6,30.9835
56.7,31.0455
56.8,31.1076
56.9,31.1698
57,31.2321
57.1,31.2946
57.2,31.3572
57.3,31.4199
57.4,31.4827
57.5,31.5457
57.6,31.6088
57.7,31.672
57.8,31.7353
57.9,31.7988
58,31.8624
58.1,31.9261
58.2,31.99
58.3,32.054
58.4,32.1181
58.5,32.1823
58.6,32.2467
58.7,32.3112
58.8,32.3758
58.9,32.4405
59,32.5054
59.1,32.5704
59.2,32.6356
59.3,32.7008
59.4,32.7662
59.5,32.8318
59.6,32.8974
59.7,32.9632
59.8,33.0292
59.9,33.0952
60,33.1614
60.1,33.2277
60.2,33.2942
60.3,33.3608
60.4,33.4275
60.5,33.4943
60.6,33.5613
60.7,33.6285
60.8,33.6957
60.9,33.7631
61,33.8306
61.1,33.8983
61.2,33.9661
61.3,34.034
61.4,34.1021
61.5,34.1703
61.6,34.2386
61.7,34.3071
61.8,34.3757
61.9,34.4445
62,34.5134
62.1,34.5824
62.2,34.6516
62.3,34.7209
62.4,34.7903
62.5,34.8599
62.6,34.9296
62.7,34.9995
62.8,35.0695
62.9,35.1396
63,35.2099
63.1,35.2803
63.2,35.3509
63.3,35.4216
63.4,35.4924
63.5,35.5634
63.6,35.6345
63.7,35.7058
63.8,35.7772
63.9,35.8488
64,35.9205
64.1,35.9923
64.2,36.0643
64.3,36.1364
64.4,36.2087
64.5,36.2811
64.6,36.3537
64.7,36.4264
64.8,36.4992
64.9,36.5722
65,36.6454
65.1,36.7187
65.2,36.7921
